labels,precision,recall,f1-score,support
amusement,0.7805758346321057,0.7848247422680412,0.7826945221253495,12125.0
excitement,0.8486389470535447,0.9104621309370988,0.8784641585384735,3116.0
joy,0.696309512630294,0.7615281914347335,0.7274600215834396,9737.0
love,0.7305303392259914,0.8023088023088023,0.7647389809315411,7623.0
desire,0.9215089747490113,0.9452332657200812,0.9332203650928137,6409.0
optimism,0.8931994523048836,0.8341858482523444,0.8626845933436191,2346.0
caring,0.8849274649618883,0.9113699670802735,0.8979540918163673,3949.0
pride,0.8791008505467801,0.8297018348623854,0.8536873156342183,1744.0
admiration,0.9149473317663446,0.9678607606593609,0.9406605208985949,10859.0
gratitude,0.9107890499194847,0.9625595643294759,0.935958960781069,2938.0
relief,0.886417791898332,0.8429003021148036,0.8641114982578397,1324.0
approval,0.838806626594341,0.8954534783629392,0.8662049127587903,12779.0
realization,0.7948412698412698,0.8779311856234934,0.8343226075184839,4563.0
surprise,0.7897058823529411,0.5502049180327869,0.6485507246376812,2928.0
curiosity,0.933565945568737,0.9512229806598407,0.9423117560047898,14064.0
confusion,0.7943640517897944,0.8315726529798685,0.8125426039536469,5017.0
fear,0.8346344925479063,0.7803583278035833,0.8065843621399177,1507.0
nervousness,0.7456140350877193,0.6390977443609023,0.6882591093117408,133.0
remorse,0.8556067588325653,0.8635658914728682,0.8595679012345679,645.0
embarrassment,0.797945205479452,0.8262411347517731,0.8118466898954704,282.0
disappointment,0.8241379310344827,0.8701456310679612,0.846517119244392,3296.0
sadness,0.7466422466422467,0.7269665147612443,0.7366730247967072,5047.0
grief,0.8108108108108109,0.8403361344537815,0.8253094910591472,357.0
disgust,0.823155505107832,0.8627171068284558,0.8424721189591078,4203.0
anger,0.8871903004744334,0.7918136908962597,0.8367930391547546,4251.0
annoyance,0.7491249858868692,0.8036579457364341,0.7754338806755099,8256.0
disapproval,0.824537439463554,0.8764519535374868,0.8497024761661015,7576.0
neutral,0.9699393513228444,0.697094125078964,0.8111882971294152,15830.0
accuracy,0.8384280332757809,0.8384280332757809,0.8384280332757809,0.8384280332757809
macro avg,0.8345560138759449,0.8299202437991442,0.829854112272984,152904.0
weighted avg,0.843468253820177,0.8384280332757809,0.8375500798263608,152904.0
